Field Key,Extent,Age as at 31/03/24,Field Key,Month,Yield_Month,Green_Leaf_Month,Extend,VP/SD_m,Date Last Pruned_m,10/1/2025 0:00,% on Divisional Extent,Plucking Round - Months,GL/Ha/Rd -Month,GL/Ha/Rd - Todate,Nitrogen per Hect- Month,Last 12 Months Nitrogen,Last 12 Months YPH - Nitrogen,Last 12 Months Nitrogen Ratio,PH Value,Foilar spraying Rounds,Plucking Average - Month,Plucking Average - Todate,LPH - Month,LPH - Todate,Green Leaf Todate,Extent Plucked To Date,Plucker To date,Wedding Date,Weeding Days,FERTILIZER_Less than 800,FERTILIZER_800 - 1400,FERTILIZER_1400-1900,FERTILIZER_1900,Yeild_Total,Green Leaf_Total,Month,Year,AirTemp_Max,AirTemp_Min,SoilTemp_Morning,SoilTemp_Afternoon,RH_Morning,RH_Afternoon,Sunshine,Evaporation,Rainfall,WetDays
9,6.45,18,9,Oct,98.793504,2628.094571,6.45,SD,"Oct,2022",36,0.045409744,22,6.346714,7.659589,160,160,1924.095948,8.786381109,8.786381109,1,20.30538922,23.18899414,6.472868217,7.811839323,25204.01851,141.9,1108.5,45783,55,250,385,4,1540,1162.27652,30918.75966,Oct,2021,23.9,15.7,22.4,22.9,90,88,3.6,31.3,382.1,19
9A,2,18,9A,Oct,179.624553,1481.660082,2,SD,Nov.2022,36,0.014080541,21,9.314848,11.392596,80,240,2347.79857,10.80108011,10.80108011,2,19.76315789,23.40163934,9.5,11.61904762,11197.42818,42,488,45783,23,180,1161,3,3483,2113.230036,17431.29509,Oct,2021,23.9,15.7,22.4,22.9,90,88,3.6,31.3,382.1,19
9A/2,2.4,23,9A/2,Oct,13.471841,133.349407,2.4,VP,Rev 2022,41,0.016896649,4,0,8.17092,40,40,72.906436,57.97101449,4.82,0,0,0,0,0,222.575849,9.6,80,45783,53,180,225,4,900,158.492253,1568.816558,Oct,2021,23.9,15.7,22.4,22.9,90,88,3.6,31.3,382.1,19
10,2.67,35,10,Nov,250.946067,2763.404999,2.67,SD,Feb.2025,8,0.018797522,17,4.728116,5.054845,140,220,1631.413588,14.24870466,14.24870466,3,25.04854369,22.5042735,4.822097378,5.155320555,5163.367496,45.39,234,45783,178,180,360,3,1080,2641.537545,29088.47368,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
10/2A,3.6,37,10/2A,Nov,0,0,3.6,VP,"June.,2024",17,0.025344973,23,6.990676,8.461046,160,320,1859.642431,18.18181818,5.72,2,30.42857143,24.89293212,7.12962963,8.629227053,17439.35706,82.8,714.5,45939,22,250,750,3,2250,1029.847437,15290.73205,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
3-Oct,2,12,3-Oct,Nov,200.756853,1655.973033,2,VP,"Apr,2023",30,0.014080541,27,8.824593,9.314848,160,400,2617.235399,16.14856681,4.4,3,24.55555556,27.34697856,9,9.5,13755.57968,54,513,45824,137,310,1317.5,4,5270,2113.230036,17431.29509,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
4-Oct,1.25,48,4-Oct,Nov,140.529797,724.488202,1.25,VP,"June,2024",17,0.008800338,21,10.197308,9.15143,160,320,1976.926698,17.10315339,4.39,3,17.35897436,25.12244898,10.4,9.333333333,6035.041196,26.25,245,45918,43,250,500,4,2000,1187.846603,6123.831855,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
11,6.48,31,11,Nov,220.832539,5901.88789,6.48,VP,Oct.2024,14,0.045620952,35,4.640275,5.840694,160,240,1228.843266,20.63628547,5.11,1,21.06521739,21.63508512,4.732510288,5.956790123,28659.33698,226.8,1351,45788,173,310,2030.5,4,8122,2324.553039,62125.13569,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1-Nov,2.98,6,1-Nov,Nov,236.213733,2903.182197,2.98,VP,"Oct,2023",23,0.020980006,22,10.419293,15.70372,160,320,3170.901669,10.6631123,5.46,2,21.06315789,23.67047619,10.62639821,16.01586333,24369.60421,65.56,1050,45903,58,310,2008.8,4,8035.2,2325.971315,28587.32394,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
11/1A,2.27,24,11/1A,Nov,281.059595,2631.34115,2.27,VP,"Apr,2022",42,0.015981414,20,11.086534,17.763651,80,240,3458.300954,7.332722273,4.99,1,22.46753247,21.19513678,11.30690162,18.11674009,17093.23691,45.4,822.5,45783,52,310,930,4,3720,2958.52205,27698.32789,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
12,6.39,17,12,Nov,160.605483,4232.667073,6.39,SD,"Nov,2022",35,0.044987328,34,3.963983,5.135878,160,400,1857.529201,22.75312856,22.75312856,1,19.72258065,24.73989455,4.04277517,5.23796373,27605.28836,217.26,1138,45783,183,250,667.5,4,2670,1690.584029,44554.39024,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1-Dec,4.25,7,1-Dec,Nov,281.059595,4926.519774,4.25,VP,"Oct,2023",24,0.029921149,25,13.554114,16.154196,320,560,4692.427294,12.60977257,4.56,3,24.52765957,27.20936875,13.82352941,16.47529412,46701.70791,106.25,1750.5,45931,30,310,1156.3,4,4625.2,2958.52205,51858.10288,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1A/1,4,21,1A/1,Nov,278.682211,4597.504079,4,VP,"Jul,2022",38,0.028161081,22,7.680664,9.236853,160,320,2485.158522,13.60544218,6.08,3,18.40425532,25.09167672,7.833333333,9.420454545,20395.59576,88,829,45931,23,200 Kgs.,180,250,310,2483.045292,40963.54345,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1A/2,4.09,23,1A/2,Nov,246.891403,4164.685022,4.09,VP,"Apr,2022",40,0.028794706,22,6.233073,9.093531,80,320,2039.266985,16.58031088,5.03,3,17.88461538,23.10245656,6.356968215,9.274283174,18903.25901,89.98,834.5,45931,30,250,1000,3,3000,1880.206381,31716.24141,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1B/1,2.31,23,1B/1,Nov,252.087302,2401.683837,2.31,VP,"May,2022",40,0.016263025,19,10.399352,8.8132,80,240,1815.264601,13.96973225,4.53,2,23.18367347,25.49809886,10.60606061,8.988380041,9862.953597,43.89,394.5,,80,250,1022.5,3,3067.5,1965.029488,18721.21092,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
2,5.24,36,2,Nov,210.927781,4558.457978,5.24,VP,"Jan,2025",2,0.0369,11,0,4.422843,0,80,652.988081,12.94498382,4.39,0,0,21.56923077,0,4.510756419,5498.702035,58,260,45945,16,250,1625,4,6500,1932.153645,41756.66738,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
2A,6.5,31,2A,Nov,180.681168,4843.721122,6.5,VP,"Jan 2025,",2,0.0458,16,0,4.883696,0,80,972.085816,8.695652174,4.66,0,0,20.91505792,0,4.980769231,10622.84912,104,518,45934,27,250,577.5,3,1732.5,1885.651417,50550.75575,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
3,5,37,3,Nov,0,0,5,VP,"Aug, 2024",15,0.035201352,21,6.92894,7.437871,160,240,1590.205602,15.94684385,5.42,2,24.03773585,24.3992467,7.066666667,7.585714286,19055.23812,105,796.5,45799,162,250,1310,4,5240,1581.541359,32613.95311,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
4,8.09,17,4,Nov,220.832539,7368.252011,8.09,VP,"Nov,2022",35,0.056955787,16,6.969017,10.358837,160,240,2013.908224,12.59181532,4.75,1,20.74782609,26.17769653,7.107540173,10.56474042,35100.30946,129.44,1367.5,45840,121,310,1550,4,6200,2298.431531,76688.98273,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
5A/1,5.7,31,5A/1,Nov,200.756853,4719.523145,5.7,VP,"Sep,2021",49,0.040129541,20,4.816542,8.192422,0,80,1929.379023,4.381161008,4.381161008,1,22.82142857,23.89186352,4.912280702,8.355263158,22313.474,114,952.5,45783,44,310,2507.9,3,7523.7,2150.304247,50550.75575,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
5A/2,7.62,29,5A/2,Nov,210.794696,6624.720119,7.62,VP,"Nov,2021",47,0.05364686,19,3.834542,7.92034,0,80,1707.489869,4.95049505,5,0,18.43624161,24.38905515,3.910761155,8.077773173,27967.09667,144.78,1169.5,45783,81,310,1767,4,7068,2165.644796,68060.49167,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
5B/1,4.18,30,5B/1,Nov,258.749346,4460.755569,4.18,VP,"May,2024",17,0.02942833,34,4.222293,5.284766,240,400,2075.191895,20.36659878,5.35,1,28.82407407,28.95953003,4.306220096,5.389811427,21750.66106,142.12,766,45765,196,310,2362.2,4,9448.8,2413.025589,41599.78572,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
6A/1,2,12,6A/1,Nov,273.66329,2257.352714,2,VP,"Apr,2023",30,0.014080541,33,4.575715,6.804148,160,400,2702.821216,15.63721658,3.97,2,26.64285714,29.48689956,4.666666667,6.939393939,13241.79226,66,458,45818,143,310,1116,4,4464,2509.460667,20699.66292,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
6A/2,2,36,6A/2,Nov,353.966031,2919.741927,2,VP,"Feb,2025",8,0.0141,26,5.719644,6.345033,160,240,1788.849225,14.1760189,4.85,3,21.84285714,20.23774146,5.833333333,6.471153846,6677.275474,52,336.5,45911,50,310,923.8,4,3695.2,3627.359356,29920.81802,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
6A/2/1,2,42,6A/2/1,Nov,266.266985,2196.343181,2,VP,"May,2024",17,0.014080541,28,6.455026,9.700049,240,480,2613.008939,19.40962394,4.3,3,25.21518987,23.84115523,6.583333333,9.892857143,12950.58069,56,554,45779,182,310,620,4,2480,1469.75149,12123.46573,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
6B/2/3,3,30,6B/2/3,Nov,321.210965,3974.33528,3,VP,"Oct,2021",48,0.021120811,33,7.778715,10.330023,160,400,3123.353993,13.53179973,4.03,2,22.09243697,22.56088207,7.933333333,10.53535354,23072.38901,99,1043,45783,249,310,1295.8,4,5183.2,3381.168057,41835.10821,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
6B/4,3,17,6B/4,Nov,286.078516,3539.642359,3,VP,"Feb,2025",8,0.0227,23,2.934448,2.877255,140,300,1260.541716,25.14668902,4.96,1,29.36206897,22.25229358,2.992776058,2.93444609,4756.455701,74,218,45905,56,310,930,4,3720,3011.352801,37259.39325,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
7,3,12,7,Nov,220.832539,2732.355505,3,VP,"Apr,2023",30,0.021120811,35,4.521242,5.434829,160,480,2717.613826,18.66251944,4.52,1,28.19277108,34.57216495,4.611111111,5.542857143,19728.84873,105,582,45783,178,310,620,4,2480,2359.421335,29193.06145,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1-Jul,3.73,7,1-Jul,Nov,140.529797,2161.872795,3.73,VP,"Sep,2023",23,0.026260208,35,4.030695,6.5117,160,400,2694.368296,15.68627451,4.38,2,29.64130435,28.727797,4.110813226,6.641133665,24421.57125,130.55,867,45788,173,250,567.5,3,1702.5,1501.073185,23092.10817,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
7A,1.54,43,7A,Nov,60.227056,382.529771,1.54,SD,"Oct,2024",12,0.010842016,35,4.838882,4.3841,160,160,1148.540524,14.71941122,14.71941122,3,25.68421053,24.54356846,4.935064935,4.471243043,5799.718712,53.9,241,45783,301,250,600,4,2400,520.170201,3303.840514,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
1-Aug,6,12,1-Aug,Nov,200.756853,4967.9191,6,VP,"Apr,2023",30,0.042241622,23,8.252629,10.369963,160,240,2645.764005,9.584664537,4.35,2,21.90594059,27.37923947,8.416666667,10.57608696,39181.19353,138,1459.5,45947,14,310,620,4,2480,2151.092074,53230.81737,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
2-Aug,6.55,6,2-Aug,Nov,200.756853,5423.311684,6.55,VP,"Oct,2023",24,0.046113771,18,6.786229,8.948508,160,240,1901.907032,13.33333333,5.11,2,23.34558824,28.94423792,6.921119593,9.126378287,30537.0143,117.9,1076,45884,77,310,1860,4,7440,2113.230036,57087.49141,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
9,6.45,18,9,Nov,110.416269,2937.282168,6.45,SD,"Oct,2022",36,0.045409744,22,6.346714,7.659589,160,160,1924.095948,8.786381109,8.786381109,1,20.30538922,23.18899414,6.472868217,7.811839323,25204.01851,141.9,1108.5,45783,55,250,385,4,1540,1162.27652,30918.75966,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
9A,2,18,9A,Nov,200.756853,1655.973033,2,SD,Nov.2022,36,0.014080541,21,9.314848,11.392596,80,240,2347.79857,10.80108011,10.80108011,2,19.76315789,23.40163934,9.5,11.61904762,11197.42818,42,488,45783,23,180,1161,3,3483,2113.230036,17431.29509,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
9A/2,2.4,23,9A/2,Nov,15.056764,149.037573,2.4,VP,Rev 2022,41,0.016896649,4,0,8.17092,40,40,72.906436,57.97101449,4.82,0,0,0,0,0,222.575849,9.6,80,45783,53,180,225,4,900,158.492253,1568.816558,Nov,2021,22.9,15.1,22,22.5,90,80,2.7,38.1,303.9,21
10,2.67,35,10,Dec,264.153754,2908.847368,2.67,SD,Feb.2025,8,0.018797522,17,4.728116,5.054845,140,220,1631.413588,14.24870466,14.24870466,3,25.04854369,22.5042735,4.822097378,5.155320555,5163.367496,45.39,234,45783,178,180,360,3,1080,2641.537545,29088.47368,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
10/2A,3.6,37,10/2A,Dec,126.793802,1882.579869,3.6,VP,"June.,2024",17,0.025344973,23,6.990676,8.461046,160,320,1859.642431,18.18181818,5.72,2,30.42857143,24.89293212,7.12962963,8.629227053,17439.35706,82.8,714.5,45939,22,250,750,3,2250,1029.847437,15290.73205,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
3-Oct,2,12,3-Oct,Dec,211.323004,1743.129509,2,VP,"Apr,2023",30,0.014080541,27,8.824593,9.314848,160,400,2617.235399,16.14856681,4.4,3,24.55555556,27.34697856,9,9.5,13755.57968,54,513,45824,137,310,1317.5,4,5270,2113.230036,17431.29509,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
4-Oct,1.25,48,4-Oct,Dec,147.926103,762.61916,1.25,VP,"June,2024",17,0.008800338,21,10.197308,9.15143,160,320,1976.926698,17.10315339,4.39,3,17.35897436,25.12244898,10.4,9.333333333,6035.041196,26.25,245,45918,43,250,500,4,2000,1187.846603,6123.831855,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
11,6.48,31,11,Dec,232.455304,6212.513569,6.48,VP,Oct.2024,14,0.045620952,35,4.640275,5.840694,160,240,1228.843266,20.63628547,5.11,1,21.06521739,21.63508512,4.732510288,5.956790123,28659.33698,226.8,1351,45788,173,310,2030.5,4,8122,2324.553039,62125.13569,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1-Nov,2.98,6,1-Nov,Dec,211.323004,2597.262968,2.98,VP,"Oct,2023",23,0.020980006,22,10.419293,15.70372,160,320,3170.901669,10.6631123,5.46,2,21.06315789,23.67047619,10.62639821,16.01586333,24369.60421,65.56,1050,45903,58,310,2008.8,4,8035.2,2325.971315,28587.32394,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
11/1A,2.27,24,11/1A,Dec,295.852205,2769.832789,2.27,VP,"Apr,2022",42,0.015981414,20,11.086534,17.763651,80,240,3458.300954,7.332722273,4.99,1,22.46753247,21.19513678,11.30690162,18.11674009,17093.23691,45.4,822.5,45783,52,310,930,4,3720,2958.52205,27698.32789,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
12,6.39,17,12,Dec,169.058403,4455.439024,6.39,SD,"Nov,2022",35,0.044987328,34,3.963983,5.135878,160,400,1857.529201,22.75312856,22.75312856,1,19.72258065,24.73989455,4.04277517,5.23796373,27605.28836,217.26,1138,45783,183,250,667.5,4,2670,1690.584029,44554.39024,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1-Dec,4.25,7,1-Dec,Dec,295.852205,5185.810288,4.25,VP,"Oct,2023",24,0.029921149,25,13.554114,16.154196,320,560,4692.427294,12.60977257,4.56,3,24.52765957,27.20936875,13.82352941,16.47529412,46701.70791,106.25,1750.5,45931,30,310,1156.3,4,4625.2,2958.52205,51858.10288,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1A/1,4,21,1A/1,Dec,237.738379,3922.041394,4,VP,"Jul,2022",38,0.028161081,22,7.680664,9.236853,160,320,2485.158522,13.60544218,6.08,3,18.40425532,25.09167672,7.833333333,9.420454545,20395.59576,88,829,45931,23,200 Kgs.,180,250,310,2483.045292,40963.54345,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1A/2,4.09,23,1A/2,Dec,169.058403,2851.759876,4.09,VP,"Apr,2022",40,0.028794706,22,6.233073,9.093531,80,320,2039.266985,16.58031088,5.03,3,17.88461538,23.10245656,6.356968215,9.274283174,18903.25901,89.98,834.5,45931,30,250,1000,3,3000,1880.206381,31716.24141,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1B/1,2.31,23,1B/1,Dec,169.058403,1610.651666,2.31,VP,"May,2022",40,0.016263025,19,10.399352,8.8132,80,240,1815.264601,13.96973225,4.53,2,23.18367347,25.49809886,10.60606061,8.988380041,9862.953597,43.89,394.5,,80,250,1022.5,3,3067.5,1965.029488,18721.21092,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
2,5.24,36,2,Dec,190.190703,4110.299381,5.24,VP,"Jan,2025",2,0.0369,11,0,4.422843,0,80,652.988081,12.94498382,4.39,0,0,21.56923077,0,4.510756419,5498.702035,58,260,45945,16,250,1625,4,6500,1932.153645,41756.66738,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
2A,6.5,31,2A,Dec,190.190703,5098.653813,6.5,VP,"Jan 2025,",2,0.0458,16,0,4.883696,0,80,972.085816,8.695652174,4.66,0,0,20.91505792,0,4.980769231,10622.84912,104,518,45934,27,250,577.5,3,1732.5,1885.651417,50550.75575,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
3,5,37,3,Dec,76.498927,1577.532205,5,VP,"Aug, 2024",15,0.035201352,21,6.92894,7.437871,160,240,1590.205602,15.94684385,5.42,2,24.03773585,24.3992467,7.066666667,7.585714286,19055.23812,105,796.5,45799,162,250,1310,4,5240,1581.541359,32613.95311,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
4,8.09,17,4,Dec,232.455304,7756.054749,8.09,VP,"Nov,2022",35,0.056955787,16,6.969017,10.358837,160,240,2013.908224,12.59181532,4.75,1,20.74782609,26.17769653,7.107540173,10.56474042,35100.30946,129.44,1367.5,45840,121,310,1550,4,6200,2298.431531,76688.98273,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
5A/1,5.7,31,5A/1,Dec,211.323004,4967.9191,5.7,VP,"Sep,2021",49,0.040129541,20,4.816542,8.192422,0,80,1929.379023,4.381161008,4.381161008,1,22.82142857,23.89186352,4.912280702,8.355263158,22313.474,114,952.5,45783,44,310,2507.9,3,7523.7,2150.304247,50550.75575,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
5A/2,7.62,29,5A/2,Dec,221.889154,6973.389599,7.62,VP,"Nov,2021",47,0.05364686,19,3.834542,7.92034,0,80,1707.489869,4.95049505,5,0,18.43624161,24.38905515,3.910761155,8.077773173,27967.09667,144.78,1169.5,45783,81,310,1767,4,7068,2165.644796,68060.49167,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
5B/1,4.18,30,5B/1,Dec,232.455304,4007.45474,4.18,VP,"May,2024",17,0.02942833,34,4.222293,5.284766,240,400,2075.191895,20.36659878,5.35,1,28.82407407,28.95953003,4.306220096,5.389811427,21750.66106,142.12,766,45765,196,310,2362.2,4,9448.8,2413.025589,41599.78572,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
6A/1,2,12,6A/1,Dec,232.455304,1917.44246,2,VP,"Apr,2023",30,0.014080541,33,4.575715,6.804148,160,400,2702.821216,15.63721658,3.97,2,26.64285714,29.48689956,4.666666667,6.939393939,13241.79226,66,458,45818,143,310,1116,4,4464,2509.460667,20699.66292,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
6A/2,2,36,6A/2,Dec,316.984505,2614.694263,2,VP,"Feb,2025",8,0.0141,26,5.719644,6.345033,160,240,1788.849225,14.1760189,4.85,3,21.84285714,20.23774146,5.833333333,6.471153846,6677.275474,52,336.5,45911,50,310,923.8,4,3695.2,3627.359356,29920.81802,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
6A/2/1,2,42,6A/2/1,Dec,169.058403,1394.503607,2,VP,"May,2024",17,0.014080541,28,6.455026,9.700049,240,480,2613.008939,19.40962394,4.3,3,25.21518987,23.84115523,6.583333333,9.892857143,12950.58069,56,554,45779,182,310,620,4,2480,1469.75149,12123.46573,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
6B/2/3,3,30,6B/2/3,Dec,338.116806,4183.510821,3,VP,"Oct,2021",48,0.021120811,33,7.778715,10.330023,160,400,3123.353993,13.53179973,4.03,2,22.09243697,22.56088207,7.933333333,10.53535354,23072.38901,99,1043,45783,249,310,1295.8,4,5183.2,3381.168057,41835.10821,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
6B/4,3,17,6B/4,Dec,301.13528,3725.939325,3,VP,"Feb,2025",8,0.0227,23,2.934448,2.877255,140,300,1260.541716,25.14668902,4.96,1,29.36206897,22.25229358,2.992776058,2.93444609,4756.455701,74,218,45905,56,310,930,4,3720,3011.352801,37259.39325,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
7,3,12,7,Dec,232.455304,2876.163689,3,VP,"Apr,2023",30,0.021120811,35,4.521242,5.434829,160,480,2717.613826,18.66251944,4.52,1,28.19277108,34.57216495,4.611111111,5.542857143,19728.84873,105,582,45783,178,310,620,4,2480,2359.421335,29193.06145,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1-Jul,3.73,7,1-Jul,Dec,147.926103,2275.655574,3.73,VP,"Sep,2023",23,0.026260208,35,4.030695,6.5117,160,400,2694.368296,15.68627451,4.38,2,29.64130435,28.727797,4.110813226,6.641133665,24421.57125,130.55,867,45788,173,250,567.5,3,1702.5,1501.073185,23092.10817,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
7A,1.54,43,7A,Dec,63.396901,402.662916,1.54,SD,"Oct,2024",12,0.010842016,35,4.838882,4.3841,160,160,1148.540524,14.71941122,14.71941122,3,25.68421053,24.54356846,4.935064935,4.471243043,5799.718712,53.9,241,45783,301,250,600,4,2400,520.170201,3303.840514,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
1-Aug,6,12,1-Aug,Dec,211.323004,5229.388526,6,VP,"Apr,2023",30,0.042241622,23,8.252629,10.369963,160,240,2645.764005,9.584664537,4.35,2,21.90594059,27.37923947,8.416666667,10.57608696,39181.19353,138,1459.5,45947,14,310,620,4,2480,2151.092074,53230.81737,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
2-Aug,6.55,6,2-Aug,Dec,211.323004,5708.749141,6.55,VP,"Oct,2023",24,0.046113771,18,6.786229,8.948508,160,240,1901.907032,13.33333333,5.11,2,23.34558824,28.94423792,6.921119593,9.126378287,30537.0143,117.9,1076,45884,77,310,1860,4,7440,2113.230036,57087.49141,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
9,6.45,18,9,Dec,116.227652,3091.875966,6.45,SD,"Oct,2022",36,0.045409744,22,6.346714,7.659589,160,160,1924.095948,8.786381109,8.786381109,1,20.30538922,23.18899414,6.472868217,7.811839323,25204.01851,141.9,1108.5,45783,55,250,385,4,1540,1162.27652,30918.75966,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
9A,2,18,9A,Dec,211.323004,1743.129509,2,SD,Nov.2022,36,0.014080541,21,9.314848,11.392596,80,240,2347.79857,10.80108011,10.80108011,2,19.76315789,23.40163934,9.5,11.61904762,11197.42818,42,488,45783,23,180,1161,3,3483,2113.230036,17431.29509,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
9A/2,2.4,23,9A/2,Dec,15.849225,156.881656,2.4,VP,Rev 2022,41,0.016896649,4,0,8.17092,40,40,72.906436,57.97101449,4.82,0,0,0,0,0,222.575849,9.6,80,45783,53,180,225,4,900,158.492253,1568.816558,Dec,2021,25.6,13,22.4,23.7,78,73,6.1,64.4,49.1,6
10,2.67,35,10,Jan,201.355781,2279.601066,2.67,SD,Feb.2025,8,0.018797522,17,4.359204,4.660439,140,220,1463.027414,14.24870466,14.24870466,3,25.04854369,22.5042735,4.822097378,5.155320555,4760.494071,45.39,234,45783,178,180,360,3,1080,2368.891538,26818.83608,Jan,2022,,12.05,,,84.5,75,5.25,59.9,81.6,7.5
10/2A,3.6,37,10/2A,Jan,96.650775,1475.337319,3.6,VP,"June.,2024",17,0.025344973,23,6.445226,7.800871,160,320,1667.699642,18.18181818,5.72,2,30.42857143,24.89293212,7.12962963,8.629227053,16078.64557,82.8,714.5,45939,22,250,750,3,2250,923.551847,14097.66772,Jan,2022,,12.05,,,84.5,75,5.25,59.9,81.6,7.5
3-Oct,2,12,3-Oct,Jan,161.084625,1366.053074,2,VP,"Apr,2023",30,0.014080541,27,8.136051,8.588054,160,400,2347.097735,16.14856681,4.4,3,24.55555556,27.34697856,9,9.5,12682.29611,54,513,45824,137,310,1317.5,4,5270,1895.11323,16071.21263,Jan,2022,,12.05,,,84.5,75,5.25,59.9,81.6,7.5
4-Oct,1.25,48,4-Oct,Jan,202.966627,1075.766795,1.25,VP,"June,2024",17,0.008800338,21,9.401659,8.437387,160,320,1772.878427,17.10315339,4.39,3,17.35897436,25.12244898,10.4,9.333333333,5564.155148,26.25,245,45918,43,250,500,4,2000,1065.243147,5646.017887,Jan,2022,,12.05,,,84.5,75,5.25,59.9,81.6,7.5
11,6.48,31,11,Jan,177.193087,4868.613154,6.48,VP,Oct.2024,14,0.045620952,35,4.278216,5.384972,160,240,1102.008343,20.63628547,5.11,1,21.06521739,21.63508512,4.732510288,5.956790123,26423.18291,226.8,1351,45788,173,310,2030.5,4,8122,2084.624553,57277.80181,Jan,2022,,12.05,,,84.5,75,5.25,59.9,81.6,7.5
